Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(11,355,535)"," 	(11,941,627)"," 	(12,603,779)"," 	(13,080,448)"
17 -  INFORMATION TECHNOLOGY,17100 - IT APPLICATION DEVELOP SUPPORT,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	12,881 "," 	16,415 "," 	7,852 "," 	10,277 "
45 -  TRAFFIC ENGINEERING,45504 - TE SIGNALS INSTALL OR REMOVE,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	12,883 "," 	5,424 "," 	6,258 "," 	5,656 "
60 -  BUILDING INSPECTION,60400 - BI CONSUMER PROTECTION,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	12,909 "," 	14,647 "," 	15,486 "," 	14,669 "
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	12,918 "," 	7,481 "," 	7,418 "," 	8,444 "
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Expense,53 - SUPPLIES,53325 - HVAC SUPPLIES," 	12,922 "," 	5,087 "," 	8,214 "," 	10,385 "
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES," 	12,922 "," 	6,103 "," 	2,296 ", 	-   
40 -  ENGINEERING,40120 - ENG STREETS ADMIN,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	12,938 "," 	15,918 "," 	15,052 "," 	16,543 "
40 -  ENGINEERING,40129 - ENG STREETS EXCAVATION PERMIT,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	12,970 "," 	11,333 "," 	15,791 "," 	19,422 "
13 -  CLERK,13100 - CLERK,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING," 	12,987 "," 	4,529 "," 	6,710 "," 	2,819 "
50 -  LIBRARY,50400752 - LIB FACILITIES HAWTHORNE,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	12,993 "," 	17,851 "," 	5,728 "," 	11,228 "
31 -  POLICE,31292 - RECORDS GENERAL,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	13,015 ", 	-   , 	-   , 	8 
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,53 - SUPPLIES,53150 - POSTAGE," 	13,044 "," 	14,580 "," 	14,905 "," 	11,622 "
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT," 	13,095 "," 	1,433 "," 	1,164 "," 	1,700 "
30 -  FIRE,30260 - FIRE COMMUNITY EDUCATION,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	13,104 "," 	15,608 "," 	10,529 "," 	7,945 "
30 -  FIRE,30110701 - FIRE GEN FIELD OP STATION 1,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES," 	13,123 ", 	874 , 	235 ," 	1,680 "
62 -  COMMUNITY DEVELOPMENT,62111 - HOUSING SUPPLY GF,Expense,54 - PURCHASED SERVICES,54820 - COMMUNITY AGENCY CONTRACTS," 	13,126 "," 	4,636 "," 	5,981 "," 	6,892 "
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	13,132 "," 	2,320 "," 	1,007 "," 	1,436 "
45 -  TRAFFIC ENGINEERING,45801 - TE PED BIKE ADMIN,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	13,165 "," 	13,038 "," 	9,418 "," 	4,080 "
65 -  PLANNING,65201 - PL COMP PLAN AND DEVELOP ADMIN,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES," 	13,187 "," 	17,317 "," 	21,920 "," 	7,293 "
31 -  POLICE,31147 - CRIME PREVENTION AND GANG UNIT,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	13,188 ", 	-   , 	-   , 	-   
60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP," 	13,242 "," 	13,718 "," 	15,312 "," 	17,040 "
63 -  ECONOMIC DEVELOPMENT,63221 - EDD OBR ECON DEV BUSINESS ASST,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	13,247 "," 	11,374 "," 	33,204 "," 	61,569 "
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	13,257 "," 	13,439 "," 	12,531 "," 	13,084 "
50 -  LIBRARY,50400752 - LIB FACILITIES HAWTHORNE,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT," 	13,321 "," 	11,595 "," 	15,740 "," 	12,021 "
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	13,345 "," 	20,167 "," 	19,047 "," 	32,732 "
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,57 - INTER DEPART CHARGES,57184 - ID CHARGE FROM STORMWATER," 	13,358 "," 	19,470 "," 	21,745 ", 	-   
40 -  ENGINEERING,40251 - ENG MAPPING GENERAL,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	13,403 "," 	21,360 "," 	20,502 "," 	19,851 "
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP," 	13,421 ", 	-   , 	-   , 	-   
40 -  ENGINEERING,40360 - ENG FAC MGMT ADMIN,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	13,428 "," 	14,576 "," 	17,186 "," 	23,019 "
20 -  MUNICIPAL COURT,20100 - MUNICIPAL COURT,Revenue,45 - FINE FORFEITURE ASMT,45115 - UNIFORM CITATIONS," 	13,436 ", 	967 ," 	7,007 "," 	6,498 "
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	13,438 "," 	12,086 "," 	25,078 "," 	28,892 "
51 -  PARKS,51246 - PARK MTC CONSERVATION,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	13,506 "," 	10,770 "," 	12,390 "," 	12,889 "
00 -  UNDEFINED,110020 - GENERAL FUND EXPENSE,Expense,54 - PURCHASED SERVICES,54620 - LEGAL SERVICES," 	13,512 "," 	13,080 "," 	41,758 "," 	12,725 "
31 -  POLICE,31294 - PROPERTY,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	13,520 "," 	15,454 "," 	12,965 "," 	13,428 "
14 -  COMMON COUNCIL,14100616 - COMMON COUNCIL DIST 16,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	13,535 "," 	13,609 "," 	12,883 "," 	12,638 "
40 -  ENGINEERING,40139 - ENG MEDIAN MAINTENANCE,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	13,549 "," 	24,505 "," 	40,701 "," 	26,608 "
15 -  FINANCE,15200 - FIN BUDGET AND PROGRAM MGMT,Expense,54 - PURCHASED SERVICES,54232 - CUSTODIAL BUILDING USE CHARGES," 	13,553 "," 	11,223 "," 	10,465 "," 	7,979 "
40 -  ENGINEERING,40141 - ENG ENV ENG GENERAL,Expense,59 - TRANSFER OUT,59123 - TRANSFER OUT TO GRANTS," 	13,559 "," 	7,455 ", 	-   , 	-   
63 -  ECONOMIC DEVELOPMENT,63221 - EDD OBR ECON DEV BUSINESS ASST,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	13,635 "," 	13,635 "," 	14,885 "," 	14,885 "
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	13,677 "," 	9,353 "," 	8,780 "," 	9,795 "
20 -  MUNICIPAL COURT,20100 - MUNICIPAL COURT,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	13,695 "," 	14,924 "," 	13,188 "," 	16,307 "
51 -  PARKS,51244 - PARK MTC MALL CONCOURSE,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	13,717 "," 	9,161 "," 	5,130 "," 	1,961 "
44 -  STREETS,44552 - ST SEALCOATING,Expense,57 - INTER DEPART CHARGES,57141 - ID CHARGE FROM FLEET SERVICES," 	13,722 "," 	5,979 "," 	7,546 "," 	20,006 "
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	13,793 "," 	15,249 "," 	22,138 "," 	16,165 "
31 -  POLICE,31111 - MOUNTED,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	13,827 "," 	1,188 ", 	-   , 	-   
50 -  LIBRARY,50400758 - LIB FACILITIES SEQUOYA,Expense,54 - PURCHASED SERVICES,54320 - COMMUNICATION DEVICE RPR MAIN," 	13,829 "," 	2,366 "," 	1,823 "," 	1,647 "
65 -  PLANNING,65201 - PL COMP PLAN AND DEVELOP ADMIN,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	13,834 "," 	16,888 "," 	20,373 "," 	22,268 "
50 -  LIBRARY,50400753 - LIB FACILITIES ASHMAN,Expense,54 - PURCHASED SERVICES,54232 - CUSTODIAL BUILDING USE CHARGES," 	13,908 "," 	13,908 "," 	13,908 "," 	13,908 "
40 -  ENGINEERING,40125 - ENG STREETS SNOW PLOWING,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	13,925 "," 	13,012 "," 	6,420 "," 	4,864 "
00 -  UNDEFINED,110020 - GENERAL FUND EXPENSE,Expense,52 - BENEFITS,52421 - HEALTH INS POLICE FIRE RETIREE," 	13,933 ", 	-   , 	-   , 	-   
50 -  LIBRARY,50400755 - LIB FACILITIES MEADOWRIDGE,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	14,012 "," 	13,186 "," 	14,083 "," 	13,411 "
51 -  PARKS,51244 - PARK MTC MALL CONCOURSE,Expense,57 - INTER DEPART CHARGES,57145 - ID CHARGE FROM TRAFFIC ENGINEE," 	14,027 ", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	14,043 "," 	2,665 "," 	1,567 "," 	7,986 "
40 -  ENGINEERING,40111 - ENG ADMIN EMPLOYEE LEAVE,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	14,053 "," 	5,880 "," 	7,878 "," 	7,932 "
45 -  TRAFFIC ENGINEERING,45300 - TE PAVE MARK,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	14,085 ", 	936 , 	-   , 	4 
51 -  PARKS,51244 - PARK MTC MALL CONCOURSE,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	14,111 "," 	14,111 "," 	14,111 "," 	14,111 "
50 -  LIBRARY,50400754 - LIB FACILITIES LAKEVIEW,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	14,113 "," 	12,553 "," 	10,378 "," 	11,006 "
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	14,221 "," 	20,875 "," 	16,691 "," 	16,162 "
40 -  ENGINEERING,40115 - ENG ADMIN PRIVATE DEVELOPMENT,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	14,225 ", 	-   , 	-   , 	-   
30 -  FIRE,30110 - FIRE GEN FIELD OP,Expense,54 - PURCHASED SERVICES,54335 - SYSTEM AND SOFTWARE MAINTENANC," 	14,235 "," 	55,897 "," 	59,720 "," 	64,901 "
21 -  TREASURER,21100 - TREASURER,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	14,249 "," 	15,699 "," 	16,707 "," 	17,327 "
45 -  TRAFFIC ENGINEERING,45504 - TE SIGNALS INSTALL OR REMOVE,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	14,255 "," 	6,048 "," 	7,570 "," 	6,152 "
30 -  FIRE,30250 - FIRE INSPECTION GENERAL,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	14,272 "," 	10,090 "," 	17,873 "," 	22,680 "
45 -  TRAFFIC ENGINEERING,45105 - TE SIGNING MAINTENANCE,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	14,275 "," 	14,160 "," 	15,608 "," 	15,214 "
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	14,330 "," 	16,545 "," 	23,152 "," 	23,152 "
31 -  POLICE,31290 - FINANCE,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	14,352 "," 	14,600 ", 	-   , 	-   
21 -  TREASURER,21100 - TREASURER,Expense,54 - PURCHASED SERVICES,54655 - PRINTING SERVICES," 	14,380 "," 	8,259 "," 	28,263 "," 	42,965 "
62 -  COMMUNITY DEVELOPMENT,62112 - HOUSING ASSISTANCE GF,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	14,398 "," 	12,030 ", 	(477)," 	13,524 "
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT," 	14,444 "," 	5,622 "," 	10,978 "," 	7,834 "
31 -  POLICE,31166 - TRAINING CENTER,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	14,444 ", 	688 , 	-   , 	-   
31 -  POLICE,31102653 - NORTH PD FIELD,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	14,513 "," 	13,815 "," 	13,240 "," 	12,871 "
13 -  CLERK,13100 - CLERK,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW," 	14,529 ", 	-   , 	-   , 	-   
30 -  FIRE,30110712 - FIRE GEN FIELD OP STATION 12,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	14,547 "," 	14,368 "," 	13,172 "," 	13,160 "
10 -  ASSESSOR,10110 - ASSESSOR RESIDENTIAL,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP," 	14,578 "," 	17,262 "," 	15,386 "," 	14,659 "
62 -  COMMUNITY DEVELOPMENT,62471 - SENIOR CENTER,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW," 	14,583 ", 	-   , 	-   , 	-   
20 -  MUNICIPAL COURT,20100 - MUNICIPAL COURT,Expense,53 - SUPPLIES,53150 - POSTAGE," 	14,605 "," 	14,487 "," 	14,146 "," 	11,436 "
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES," 	14,624 ", 	102 , 	82 , 	308 
44 -  STREETS,44501 - ST STREET REPAIR MAINT ADMIN,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	14,645 "," 	13,163 "," 	14,981 "," 	9,844 "
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	14,658 "," 	10,184 "," 	13,928 "," 	6,473 "
44 -  STREETS,44201 - ST RECYCLING ADMIN,Expense,54 - PURCHASED SERVICES,54113 - WATER," 	14,670 "," 	18,659 "," 	17,029 "," 	14,318 "
44 -  STREETS,44334 - ST SNOW MISCELLANEOUS,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	14,722 "," 	22,224 "," 	1,844 "," 	2,205 "
40 -  ENGINEERING,40116 - ENG ADMIN INSPECTION SURVEY,Expense,57 - INTER DEPART CHARGES,57183 - ID CHARGE FROM SEWER," 	14,725 "," 	12,746 "," 	13,651 ", 	-   
31 -  POLICE,31105 - SWAT,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES," 	14,729 "," 	9,343 "," 	2,927 ", 	-   
16 -  HUMAN RESOURCES,16200 - HR EMPLOYEE & LABOR RELATIONS,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	14,775 "," 	4,392 "," 	4,535 "," 	4,528 "
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE," 	14,938 "," 	11,830 "," 	14,790 "," 	8,930 "
15 -  FINANCE,15200 - FIN BUDGET AND PROGRAM MGMT,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	14,941 "," 	24,272 "," 	32,877 "," 	19,238 "
31 -  POLICE,31101 - SPECIAL DUTY,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	14,982 "," 	18,886 "," 	25,919 "," 	31,320 "
19 -  MAYOR,19100 - MAYOR,Expense,54 - PURCHASED SERVICES,54815 - GRANTS," 	15,000 "," 	(1,125)", 	-   ," 	15,000 "
00 -  UNDEFINED,110020 - GENERAL FUND EXPENSE,Expense,56 - DEBT OTHR FINANCING,56620 - CONTINGENT RESERVE," 	15,000 ", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45662 - TE SERVICES COMPUTERIZED MAP,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	15,042 "," 	27,316 "," 	26,787 "," 	22,737 "
31 -  POLICE,31111 - MOUNTED,Expense,54 - PURCHASED SERVICES,54230 - FACILITY RENTAL," 	15,043 "," 	19,200 "," 	23,475 "," 	23,130 "
15 -  FINANCE,15400 - FIN ADMIN SUPPORT,Expense,54 - PURCHASED SERVICES,54232 - CUSTODIAL BUILDING USE CHARGES," 	15,060 "," 	14,215 "," 	13,255 "," 	10,106 "
31 -  POLICE,31110 - CANINE,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	15,148 ", 	-   , 	-   , 	-   
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES," 	15,157 "," 	16,948 "," 	14,340 "," 	14,463 "
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,54 - PURCHASED SERVICES,54240 - LANDFILL," 	15,250 "," 	11,365 "," 	5,687 "," 	5,080 "
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,54 - PURCHASED SERVICES,54240 - LANDFILL," 	15,250 "," 	13,525 "," 	8,530 "," 	7,620 "
65 -  PLANNING,65220 - PL PLAN COMMISSION DEV REVIEW,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	15,261 "," 	11,490 "," 	9,779 "," 	14,429 "
15 -  FINANCE,15100 - FIN ACCOUNTING,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	15,273 "," 	13,662 "," 	2,405 "," 	2,628 "
51 -  PARKS,51244 - PARK MTC MALL CONCOURSE,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP," 	15,302 ", 	-   , 	-   , 	-   
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES," 	15,316 "," 	11,146 "," 	10,736 "," 	5,666 "
50 -  LIBRARY,50400754 - LIB FACILITIES LAKEVIEW,Expense,54 - PURCHASED SERVICES,54232 - CUSTODIAL BUILDING USE CHARGES," 	15,333 "," 	16,575 "," 	19,500 "," 	19,500 "
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES," 	15,373 "," 	24,323 "," 	16,718 "," 	19,490 "
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,57 - INTER DEPART CHARGES,57141 - ID CHARGE FROM FLEET SERVICES," 	15,392 ", 	-   ," 	27,381 "," 	27,530 "
65 -  PLANNING,65201 - PL COMP PLAN AND DEVELOP ADMIN,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	15,458 "," 	20,414 "," 	24,661 "," 	24,870 "
31 -  POLICE,31102652 - EAST PD FIELD,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	15,483 "," 	17,730 "," 	17,908 "," 	16,592 "
31 -  POLICE,31111 - MOUNTED,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	15,587 ", 	-   , 	-   , 	-   
31 -  POLICE,31170 - ACADEMY,Expense,54 - PURCHASED SERVICES,54230 - FACILITY RENTAL," 	15,593 "," 	10,137 "," 	12,681 "," 	18,514 "
13 -  CLERK,13100 - CLERK,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES," 	15,609 "," 	4,878 "," 	5,552 "," 	5,481 "
60 -  BUILDING INSPECTION,60400 - BI CONSUMER PROTECTION,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	15,648 ", 	-   , 	-   , 	-   
60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	15,650 "," 	15,650 "," 	15,650 "," 	15,650 "
60 -  BUILDING INSPECTION,60200 - BI HEALTH AND WLFARE,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	15,650 "," 	15,650 "," 	15,650 "," 	15,650 "
60 -  BUILDING INSPECTION,60300 - BI ZONING AND SIGNS,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	15,650 "," 	15,650 "," 	15,650 "," 	15,650 "
62 -  COMMUNITY DEVELOPMENT,62550 - CD DIVISION 26 PRGM ADMIN,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	15,651 "," 	16,013 "," 	2,462 "," 	6,269 "
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES," 	15,690 "," 	19,552 "," 	18,203 "," 	12,199 "
40 -  ENGINEERING,40113 - ENG ADMIN FLEET MAINTENANCE,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	15,850 "," 	15,385 "," 	16,330 "," 	14,707 "
51 -  PARKS,51245 - PARK MTC CONSTRUCTION,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES," 	15,877 "," 	21,593 "," 	15,611 "," 	19,275 "
51 -  PARKS,51244 - PARK MTC MALL CONCOURSE,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES," 	15,909 "," 	13,014 "," 	13,540 "," 	14,757 "
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	15,915 "," 	17,595 "," 	25,544 "," 	18,652 "
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	15,920 "," 	19,931 "," 	17,426 "," 	23,004 "
62 -  COMMUNITY DEVELOPMENT,62442 - CRISIS SUPPORT SERVICES,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	15,928 "," 	16,801 "," 	4,775 "," 	10,388 "
50 -  LIBRARY,50400753 - LIB FACILITIES ASHMAN,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	15,954 "," 	15,726 "," 	13,816 "," 	13,058 "
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	15,957 ", 	6 , 	-   , 	-   
62 -  COMMUNITY DEVELOPMENT,62443 - CMTY OUTREACH ACCESS RESOURCES,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	15,981 "," 	6,954 "," 	31,581 "," 	29,625 "
64 -  PCED OFFICE OF DIRECTOR,64100 - PCED ADMIN AND SUPPORT,Expense,54 - PURCHASED SERVICES,54645 - CONSULTING SERVICES," 	16,000 "," 	21,481 "," 	43,953 "," 	2,640 "
11 -  ATTORNEY,11100 - ATTY ORDINANCE ENFORCEMENT,Expense,54 - PURCHASED SERVICES,54232 - CUSTODIAL BUILDING USE CHARGES," 	16,022 "," 	15,920 "," 	14,845 "," 	11,319 "
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	16,087 "," 	11,296 "," 	11,930 "," 	15,778 "
13 -  CLERK,13100 - CLERK,Expense,54 - PURCHASED SERVICES,54633 - DELIVERY FREIGHT CHARGES," 	16,128 "," 	35,450 "," 	26,191 "," 	34,568 "
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	16,152 "," 	17,857 "," 	25,924 "," 	18,929 "
13 -  CLERK,13100 - CLERK,Expense,54 - PURCHASED SERVICES,54230 - FACILITY RENTAL," 	16,232 "," 	12,981 "," 	23,088 "," 	23,915 "
64 -  PCED OFFICE OF DIRECTOR,64100 - PCED ADMIN AND SUPPORT,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	16,245 "," 	16,245 "," 	16,245 "," 	16,245 "
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	16,265 "," 	19,446 "," 	42,646 "," 	25,993 "
45 -  TRAFFIC ENGINEERING,45105 - TE SIGNING MAINTENANCE,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	16,270 "," 	16,559 "," 	22,877 "," 	23,043 "
65 -  PLANNING,65223 - PL TRANSPORTATION PLAN NON MPO,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	16,460 "," 	27,995 "," 	30,653 "," 	57,145 "
60 -  BUILDING INSPECTION,60110 - BI INSPECTION EDUCATION,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES," 	16,463 "," 	19,978 "," 	23,383 "," 	25,345 "
65 -  PLANNING,65220 - PL PLAN COMMISSION DEV REVIEW,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	16,547 "," 	12,383 "," 	10,354 "," 	15,804 "
40 -  ENGINEERING,40362 - ENG FAC MGMT DESIGN CONSTRUCT,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	16,563 "," 	24,906 "," 	26,055 "," 	13,796 "
50 -  LIBRARY,50400755 - LIB FACILITIES MEADOWRIDGE,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT," 	16,598 "," 	17,692 "," 	23,753 "," 	23,954 "
62 -  COMMUNITY DEVELOPMENT,62473 - SENIOR CENTER OASIS GRANT,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	16,658 ", 	-   , 	-   , 	-   
31 -  POLICE,31280 - INFO MGT AND TECHNOLOGY,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	16,708 "," 	5,151 "," 	5,014 "," 	4,277 "
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	16,748 "," 	18,441 "," 	19,190 "," 	16,687 "
30 -  FIRE,30252 - FIRE INSPECTION ELEVATOR,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	16,859 "," 	16,906 "," 	17,876 "," 	13,910 "
